,leiden
WASP0003086,3
WASP0003087,0
WASP0003088,2
WASP0003089,3
WASP0003091,9
WASP0003094,7
WASP0003097,4
WASP0003101,13
WASP0003107,3
WASP0003110,21
WASP0003112,13
WASP0003113,3
WASP0003115,14
WASP0003116,12
WASP0003119,1
WASP0003123,3
WASP0003124,2
WASP0003125,23
WASP0003126,2
WASP0003127,1
WASP0003129,2
WASP0003134,11
WASP0003141,12
WASP0003142,6
WASP0003146,0
WASP0003148,4
WASP0003153,3
WASP0003160,3
WASP0003161,1
WASP0003165,8
WASP0003168,3
WASP0003170,21
WASP0003176,1
WASP0003183,17
WASP0003185,1
WASP0003194,0
WASP0003197,5
WASP0003198,5
WASP0003200,4
WASP0003201,4
WASP0003204,1
WASP0003205,6
WASP0003206,1
WASP0003207,0
WASP0003208,15
WASP0003213,1
WASP0003217,21
WASP0003219,0
WASP0003221,6
WASP0003224,1
WASP0003227,8
WASP0003231,9
WASP0003234,6
WASP0003237,13
WASP0003238,0
WASP0003240,5
WASP0003242,0
WASP0003246,21
WASP0003247,3
WASP0003249,3
WASP0003252,7
WASP0003253,12
WASP0003255,3
WASP0003256,20
WASP0003257,10
WASP0003258,12
WASP0003259,6
WASP0003261,9
WASP0003267,3
WASP0003270,3
WASP0003271,6
WASP0003272,19
WASP0003278,4
WASP0003282,5
WASP0003284,3
WASP0003291,4
WASP0003295,14
WASP0003296,0
WASP0003297,21
WASP0003299,12
WASP0003301,2
WASP0003312,9
WASP0003313,14
WASP0003315,7
WASP0003317,18
WASP0003319,0
WASP0003320,1
WASP0003322,8
WASP0003325,9
WASP0003327,4
WASP0003329,2
WASP0003331,3
WASP0003334,14
WASP0003335,7
WASP0003337,1
WASP0003339,0
WASP0003342,3
WASP0003345,3
WASP0003346,1
WASP0003347,1
WASP0003349,10
WASP0003351,4
WASP0003352,3
WASP0003354,2
WASP0003355,9
WASP0003357,3
WASP0003359,2
WASP0003361,9
WASP0003362,8
WASP0003367,4
WASP0003368,3
WASP0003371,4
WASP0003372,7
WASP0003375,8
WASP0003376,0
WASP0003380,3
WASP0003381,1
WASP0003383,11
WASP0004001,0
WASP0004003,5
WASP0004004,4
WASP0004005,3
WASP0004006,9
WASP0004012,5
WASP0004013,13
WASP0004014,10
WASP0004015,11
WASP0004016,0
WASP0004017,2
WASP0004018,5
WASP0004019,5
WASP0004021,11
WASP0004022,9
WASP0004023,1
WASP0004025,8
WASP0004026,8
WASP0004029,10
WASP0004030,9
WASP0004032,1
WASP0004033,11
WASP0004036,1
WASP0004037,1
WASP0004038,3
WASP0004039,11
WASP0004041,3
WASP0004042,0
WASP0004044,0
WASP0004046,4
WASP0004047,1
WASP0004049,3
WASP0004050,12
WASP0004051,5
WASP0004052,2
WASP0004054,3
WASP0004055,3
WASP0004056,1
WASP0004057,0
WASP0004058,10
WASP0004059,3
WASP0004062,5
WASP0004063,9
WASP0004068,0
WASP0004070,2
WASP0004073,12
WASP0004074,1
WASP0004075,13
WASP0004077,15
WASP0004079,9
WASP0004083,1
WASP0004085,3
WASP0004087,7
WASP0004091,12
WASP0004093,11
WASP0004094,0
WASP0004096,0
WASP0004100,8
WASP0004101,1
WASP0004102,18
WASP0004103,0
WASP0004104,7
WASP0004105,1
WASP0004106,4
WASP0004108,1
WASP0004109,6
WASP0004110,7
WASP0004111,10
WASP0004112,14
WASP0004113,13
WASP0004115,9
WASP0004117,23
WASP0004118,9
WASP0004119,14
WASP0004120,17
WASP0004121,19
WASP0004122,1
WASP0004123,3
WASP0004124,0
WASP0004126,6
WASP0004127,5
WASP0004128,0
WASP0004129,3
WASP0004130,1
WASP0004133,1
WASP0004135,7
WASP0004137,4
WASP0004138,7
WASP0004140,1
WASP0004141,9
WASP0004142,0
WASP0004143,1
WASP0004144,4
WASP0004145,12
WASP0004146,0
WASP0004147,2
WASP0004148,15
WASP0004150,1
WASP0004152,11
WASP0004153,8
WASP0004154,3
WASP0004155,9
WASP0004156,0
WASP0004158,0
WASP0004159,1
WASP0004161,7
WASP0004162,1
WASP0004163,4
WASP0004168,0
WASP0004170,2
WASP0004171,7
WASP0004172,9
WASP0004173,16
WASP0004174,0
WASP0004175,0
WASP0004179,0
WASP0004182,4
WASP0004183,0
WASP0004186,4
WASP0004187,1
WASP0004188,0
WASP0004189,6
WASP0004190,2
WASP0004192,9
WASP0004194,9
WASP0004197,1
WASP0004198,4
WASP0004199,2
WASP0004200,4
WASP0004202,7
WASP0004203,0
WASP0004204,4
WASP0004205,2
WASP0004207,4
WASP0004208,6
WASP0004209,4
WASP0004215,0
WASP0004217,7
WASP0004218,1
WASP0004219,6
WASP0004220,8
WASP0004224,12
WASP0004226,3
WASP0004229,2
WASP0004232,3
WASP0004235,1
WASP0004236,9
WASP0004237,13
WASP0004238,1
WASP0004240,2
WASP0004241,10
WASP0004242,6
WASP0004243,9
WASP0004244,11
WASP0004245,2
WASP0004246,1
WASP0004247,11
WASP0004248,2
WASP0004249,3
WASP0004250,0
WASP0004251,15
WASP0004253,16
WASP0004258,5
WASP0004260,7
WASP0004262,1
WASP0004263,8
WASP0004265,6
WASP0004266,6
WASP0004268,1
WASP0004270,3
WASP0004273,6
WASP0004275,7
WASP0004281,9
WASP0004282,7
WASP0004284,6
WASP0004285,0
WASP0004286,4
WASP0004287,7
WASP0004292,13
WASP0004294,16
WASP0004295,0
WASP0004296,7
WASP0004297,1
WASP0004298,19
WASP0004299,7
WASP0004300,3
WASP0004301,0
WASP0004302,7
WASP0004303,0
WASP0004305,0
WASP0004306,10
WASP0004308,11
WASP0004309,8
WASP0004310,12
WASP0004311,7
WASP0004314,3
WASP0004315,1
WASP0004316,7
WASP0004317,9
WASP0004318,1
WASP0004319,8
WASP0004320,4
WASP0004321,10
WASP0004323,0
WASP0004325,2
WASP0004326,6
WASP0004327,7
WASP0004329,6
WASP0004330,3
WASP0004331,15
WASP0004332,19
WASP0004333,0
WASP0004334,3
WASP0004335,7
